time_ms,CH1_raw,CH4_raw,Diff_C1_C4,Temp_C
335259,9639,9565,74.00,23751
335283,9456,9225,231.00,23751
335307,9800,9678,122.00,23751
335331,9690,9272,418.00,23751
335355,9586,9549,37.00,23751
335379,9973,9415,558.00,23751
335403,9492,9036,456.00,23751
335427,9487,9533,-46.00,23750
335451,9950,9269,681.00,23735
335475,9444,9530,-86.00,23751
335499,9822,9542,280.00,23736
335523,9478,9183,295.00,23751
335547,9481,9495,-14.00,23750
335571,9841,9286,555.00,23735
335595,9336,9552,-216.00,23751
335619,9794,9547,247.00,23736
335643,9511,9431,80.00,23751
335667,9672,9366,306.00,23750
335691,9826,9416,410.00,23750
335715,9555,9500,55.00,23751
335739,9760,9581,179.00,23750
335763,9462,9257,205.00,23750
335787,9625,9605,20.00,23751
335811,9612,9322,290.00,23751
335835,9446,9360,86.00,23750
335859,9669,9674,-5.00,23751
335883,9526,9181,345.00,23735
335907,9520,9629,-109.00,23751
335931,9947,9226,721.00,23735
335955,9508,9388,120.00,23751
335979,9733,9527,206.00,23751
336003,9567,9256,311.00,23751
336027,9883,9465,418.00,23750
336051,9664,9337,327.00,23751
336076,9701,9454,247.00,24327
336101,9451,9427,24.00,23723
336125,9709,9678,31.00,23751
336149,10029,9619,410.00,23751
336173,9726,9459,267.00,23750
336197,9749,9634,115.00,23751
336221,9864,9422,442.00,23750
336245,9643,9676,-33.00,23751
336269,9767,9369,398.00,23735
336293,9592,9528,64.00,23751
336317,9797,9742,55.00,23751
336341,9605,9539,66.00,23751
336365,9691,9618,73.00,23750
336389,9891,9673,218.00,23751
336413,9763,9448,315.00,23751
336437,9873,9890,-17.00,23751
336461,9585,9421,164.00,23735
336485,9754,9684,70.00,23751
336509,10214,9593,621.00,23752
336533,9668,9411,257.00,23751
336557,9786,9593,193.00,23750
336581,9800,9393,407.00,23751
336605,9563,9357,206.00,23751
336629,10016,9501,515.00,23751
336653,9549,9440,109.00,23750
336677,9963,9638,325.00,23751
336701,9661,9418,243.00,23751
336725,9650,9475,175.00,23751
336749,9857,9341,516.00,23751
336773,9728,9346,382.00,23751
336797,9861,9772,89.00,23751
336821,9689,9482,207.00,23751
336845,9691,9546,145.00,23751
336869,10012,9450,562.00,23751
336893,9668,9309,359.00,23768
336917,9805,9745,60.00,23718
336941,9648,9449,199.00,23750
336965,9498,9476,22.00,23751
336989,9960,9369,591.00,23751
337013,9569,9434,135.00,23751
337037,9608,9405,203.00,23751
337061,9849,9345,504.00,23750
337086,9958,9794,164.00,24326
337111,9827,9328,499.00,23725
337135,9552,9673,-121.00,23751
337159,9774,9703,71.00,23734
337183,9575,9308,267.00,23750
337207,9506,9491,15.00,23751
337231,9763,9395,368.00,23751
337255,9435,9613,-178.00,23751
337279,9605,9737,-132.00,23735
337303,9536,9437,99.00,23783
337327,9429,9665,-236.00,23683
337351,9927,9370,557.00,23735
337375,9585,9329,256.00,23751
337399,9738,9686,52.00,23751
337423,9449,9315,134.00,23751
337447,9691,9586,105.00,23750
337471,9709,9375,334.00,23751
337495,9390,9676,-286.00,23752
337519,9769,9779,-10.00,23735
337543,9512,9255,257.00,23735
337567,9642,9831,-189.00,23750
337591,9599,9379,220.00,23735
337615,9347,9623,-276.00,23752
337639,9618,9742,-124.00,23735
337663,9505,9384,121.00,23734
337687,9888,9665,223.00,23750
337711,9631,9305,326.00,23751
337735,9603,9517,86.00,23751
337759,9632,9748,-116.00,23751
337783,9565,9460,105.00,23735
337807,9845,9624,221.00,23750
337831,9836,9348,488.00,23751
337855,9522,9730,-208.00,23751
337879,9825,9707,118.00,23735
337903,9517,9331,186.00,23750
337927,9701,9844,-143.00,23750
337951,9651,9384,267.00,23735
337975,9529,9586,-57.00,23751
337999,9633,9840,-207.00,23735
338023,9501,9308,193.00,23735
338047,9718,9843,-125.00,23750
338071,9633,9402,231.00,23735
338096,9492,9668,-176.00,24329
338121,9585,9358,227.00,23707
338145,9661,9667,-6.00,23751
338169,9721,9562,159.00,23735
338193,9659,9391,268.00,23751
338217,9887,9599,288.00,23751
338241,9740,9437,303.00,23750
338265,9577,9461,116.00,23750
338289,10066,9535,531.00,23751
338313,9600,9493,107.00,23750
338337,9976,9646,330.00,23751
338361,9610,9495,115.00,23751
338385,9722,9458,264.00,23751
338409,9997,9649,348.00,23751
338433,9684,9444,240.00,23751
338457,9850,9932,-82.00,23751
338481,9623,9496,127.00,23735
338505,9723,9529,194.00,23752
338529,9978,9441,537.00,23751
338553,9677,9453,224.00,23750
338577,9917,9796,121.00,23751
338601,9798,9434,364.00,23751
338625,9686,9330,356.00,23751
338649,9937,9592,345.00,23751
338673,9572,9336,236.00,23750
338697,9731,9898,-167.00,23751
338721,9670,9514,156.00,23735
338745,9695,9511,184.00,23750
338769,10017,9676,341.00,23751
338793,9665,8891,774.00,23750
338817,9871,9918,-47.00,23751
338841,9704,9405,299.00,23735
338865,9618,9729,-111.00,23751
338889,9735,9602,133.00,23735
338913,9625,9400,225.00,23751
338937,9724,9690,34.00,23751
338961,9818,9559,259.00,23751
338985,9605,9670,-65.00,23750
339009,9851,9349,502.00,23735
339033,9618,9460,158.00,23751
339057,9763,9596,167.00,23751
339081,9790,9430,360.00,23751
339106,10060,9600,460.00,24327
339131,9673,9415,258.00,23724
339155,9543,9538,5.00,23750
339179,10002,9540,462.00,23751
339203,9553,9276,277.00,23750
339227,9682,9565,117.00,23751
339251,9846,9360,486.00,23751
339275,9502,9510,-8.00,23751
339299,9845,9465,380.00,23735
339323,9489,9209,280.00,23751
339347,9802,9524,278.00,23751
339371,9745,9371,374.00,23751
339395,9495,9482,13.00,23751
339419,9813,9548,265.00,23751
339443,9533,9153,380.00,23751
339467,9757,9527,230.00,23750
339491,9809,9319,490.00,23751
339515,9540,9216,324.00,23752
339539,9678,9721,-43.00,23751
339563,9559,9206,353.00,23734
339587,9890,9809,81.00,23751
339611,9804,9167,637.00,23752
339635,9581,9522,59.00,23751
339659,9508,9363,145.00,23750
339683,9604,9313,291.00,23751
339707,9613,9439,174.00,23751
339731,9653,9209,444.00,23751
339755,9329,9543,-214.00,23751
339779,9803,9528,275.00,23735
339803,9546,9281,265.00,23750
339827,9753,9468,285.00,23750
339851,9586,9270,316.00,23751
339875,9479,9315,164.00,23751
339899,9693,9502,191.00,23751
339923,9411,9131,280.00,23750
339947,9652,9559,93.00,23750
339971,9707,9319,388.00,23790
339995,9537,9306,231.00,23712
340019,9443,9725,-282.00,23750
340043,9633,9191,442.00,23735
340067,9801,9564,237.00,23751
340091,9817,9318,499.00,23751
340116,9834,9650,184.00,24331
340141,9386,9444,-58.00,23722
340165,9614,9331,283.00,23734
340189,9880,9570,310.00,23751
340213,9631,9470,161.00,23751
340237,9866,9760,106.00,23751
340261,9596,9555,41.00,23751
